title, dirctor, year
One crazy summer, savage steve holland, 1986
the princess bride, rob reiner, 1987
the goonies, richard donner, 1985
the breakfast club, john hughes, 1985
monty python and the holy grail, terry gilia, 1975
Willow, Ron Howard, 1988
